Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí)
01/07/2020,FB,DucVu,CVS,0,0,0,0,0,0,0,1,1,"499,000","499,000",0,1,0,0,0,0
01/07/2020,FB,DucVu,Mess,0,0,0,0,0,0,0,3,1,"499,000","499,000",0,0.33,0,0,0,0
01/07/2020,FB,DucVu,Brand,"259,352","61,673","59,968",271,0,0,0,0,0,0,0,0,0,"4,205",957,0,"280,100"
01/07/2020,FB,NgocNgo,CVS,"4,541,746","95,958","76,992",386,4,26,0,40,32,"15,837,826","12,974,000","113,544",0.8,"47,331","11,766","174,683","4,905,086"
01/07/2020,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2020,FB,GiangPhan,CVS,"488,991","4,596","4,389",19,1,3,0,1,1,"499,000","499,000","488,991",1,"106,395","25,736","162,997","528,110"
01/07/2020,FB,AnhNguyen08,CVS,"3,705,833","65,241","59,328",808,11,33,0,21,13,"6,421,913","4,990,000","176,468",0.62,"56,802","4,586","112,298","4,002,300"
01/07/2020,FB,TungTran,CVS,"698,471","9,308","8,212",32,3,2,0,2,2,"1,497,000","1,497,000","349,236",1,"75,040","21,827","349,236","754,349"
01/07/2020,FB,AnhTrinh,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2020,FB,AnhNgo01,CVS,"349,951","3,068","2,606",39,0,1,0,1,1,"499,000","499,000","349,951",1,"114,065","8,973","349,951","377,947"
01/07/2020,FB,YenNguyen02,CVS,0,"28,157","21,552",155,4,12,0,0,0,0,0,0,0,0,0,0,0
01/07/2020,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2020,FB,HuyDo,CVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
